Regional indicator=Central and Eastern Europe,Regional indicator=Commonwealth of Independent States,Regional indicator=East Asia,Regional indicator=Latin America and Caribbean,Regional indicator=Middle East and North Africa,Regional indicator=North America and ANZ,Regional indicator=South Asia,Regional indicator=Southeast Asia,Regional indicator=Sub-Saharan Africa,Regional indicator=Western Europe,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Ladder score in Dystopia,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual,Ladder score,Country name,Selected
continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,string,discrete
,,,,,,,,,,,,,,,,,,,,,,,,class,meta,meta
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.162885452236168,1.2161709532475067,1.039750024094977,1.3935504065936908,-0.551885527313388,-3.031227832225423,0.0,1.1622776190385549,1.211950530573321,1.0402060184016042,1.3992267782408674,-0.5518375819924941,3.034464158402978,1.5352982644099376,7.842,Finland,No
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.299716702943618,1.2161709532475067,1.1436181707792668,1.3669901784033789,0.3005936803419887,-3.070416322346539,0.0,1.30110471515287,1.2197024356626287,1.1438314652431316,1.3628432680740523,0.3058302655448281,3.0695589644187,0.816797514374237,7.62,Denmark,No
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.4590644885776118,1.1113700633537025,1.3958693841553984,1.1279481246905747,0.26729371129295054,-2.4378021246771024,0.0,1.4597642535692301,1.1072998118676654,1.3934745871795382,1.1227121009730663,0.2649889394716223,2.4378524561357127,0.7626766786572623,7.571,Switzerland,No
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.25208557136824,1.4694397704908666,1.188133090786819,1.4466708629743141,1.1663928756169806,-0.3048285909420997,0.0,1.2515236093977575,1.467763398520477,1.1862236934964838,1.45016369247441,1.173708444600452,0.30584299068063303,1.0015548500977032,7.554,Iceland,No
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.2988506823695207,1.1113700633537025,1.0991032507717147,1.0748276683099514,1.2662927827640948,-2.1802777610240573,0.0,1.298625659865114,1.1072998118676654,1.0967289894060739,1.0790518887728868,1.265601428265165,2.183415112521732,0.6861610143677463,7.464,Netherlands,No
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.4036391718353534,1.2161709532475067,1.2326480107943711,1.490937909958167,0.7201732903598693,-2.560965950772037,0.0,1.4027459819508505,1.2197024356626287,1.2333261693335418,1.486547202641226,0.724453857795188,2.5606842771907377,0.27932162863324606,7.392,Norway,No
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.2425593450531651,1.0415028034245006,1.1436181707792668,1.3581367690066084,0.6735533336912158,-2.745711689914439,0.0,1.2416073882467349,1.0414086186085496,1.1438314652431316,1.355566566040689,0.6734022002036806,2.744932008773276,0.4715439072142251,7.363,Sweden,No
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.9180553928494388,0.8144342086545916,1.1287798641100815,1.0217072119293278,-0.12564592348569967,-1.9115566859078366,0.0,1.9183894818040204,0.8127274184739696,1.1297007224920144,1.0208382725059812,-0.12300365822383287,1.9114303658998906,0.4155568357828722,7.324,Luxembourg,No
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0485707364552603,1.1637705083006045,1.2474863174635566,1.2164822186582804,0.9932330365619821,-2.717719911256499,0.0,1.048241075801796,1.1654391000374742,1.2474569120846593,1.2100325253734248,1.0001328087893275,2.7186109042614848,0.3390411714933563,7.277,New Zealand,No
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.2763341474429786,1.0415028034245006,1.2326480107943711,1.0305606213260985,0.38051360605968026,-1.3797128914069832,0.0,1.2763141622753138,1.0414086186085496,1.2333261693335418,1.0281149745393445,0.3773025861729384,1.376234574160138,0.6600337143664478,7.268,Austria,No
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.1810718842922208,1.0939032483714017,1.3216778508094775,1.0836810777067218,1.1597328818071728,-1.5980487649389123,0.0,1.1796310060528445,1.0956719542337041,1.322820873423952,1.0790518887728868,1.153287781563849,1.5955771117583974,0.3129138714920576,7.183,Australia,No
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9896813374166097,1.0851698408802515,1.2627697733328154,0.07439240647487823,0.3072536741517963,0.14303986758493475,0.0,0.988743748895661,1.0879200491443963,1.2615876548357765,0.07486700816876432,0.3058302655448281,-0.14161578601981598,1.2180381929656026,7.157,Israel,No
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.2477554684977503,0.7707671711988399,1.113941557440898,0.7383981112326697,0.17405379795564369,-1.4972783617703296,0.0,1.246565498822246,0.7739678930274311,1.1155699797408969,0.7370468932048159,0.17309595580690937,1.4990663952151633,0.7346831429415854,7.155,Germany,No
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.1637514728102654,0.9716355434952979,1.306839544140292,1.0925344871034923,0.6935333151206388,-1.7492043696917867,0.0,1.1647566743263107,0.9716414728047796,1.3086901306728345,1.08632859080625,0.6938228632402835,1.7535037388291441,0.2886528072051381,7.103,Canada,No
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.6539191177496138,1.1550371008094542,1.0991032507717147,0.773811748819752,0.6136133894029472,-2.040318867734359,0.0,1.6531305660141686,1.1576871949481664,1.0967289894060739,0.7807071054049952,0.6121402110938718,2.034262186954916,-0.08646057138492885,7.085,Ireland,No
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38779703841864865,0.6659662813050357,0.9507201840798729,1.260749265642133,-0.7383653539880016,0.4565477885538593,0.0,0.3888123692587996,0.669317174321776,0.9507113143111943,1.2682461416403306,-0.7458338808402218,-0.45746904016130924,1.7853738501366485,7.069,Costa Rica,No
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.1039960531975188,1.0415028034245006,1.113941557440898,0.5967435608843407,1.6525724237329376,-1.5028767175019175,0.0,1.1052593474201757,1.0414086186085496,1.1155699797408969,0.5915128525375516,1.6535940259606208,1.4990663952151633,0.3091814000633012,7.064,United Kingdom,No
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9732269465087516,1.1550371008094542,0.8627290255316101,0.5878901514875701,-1.2844848463922272,0.786850776717547,0.0,0.9738694171691277,1.1499352898588586,0.8612166102207841,0.5915128525375516,-1.2869814513101991,-0.782095995806733,1.2945538572551185,6.965,Czech Republic,No
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.377658554612419,0.9192350985483958,0.47589437066597856,0.40196855415538824,0.7534732594089075,-0.16486969765240184,0.0,1.3779554290732943,0.9173781371796251,0.4749763083569097,0.4023185996701089,0.7550848523500924,0.165463766617747,0.7029571357971521,6.951,United States,No
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.204454439792862,0.7969673936722909,1.0692782543666535,-0.0761155532702214,-0.9181851868528076,-0.455984195694974,0.0,1.2044215589304008,0.7933476557507005,1.068467503903839,-0.07066703249849995,-0.9194095166513466,0.45499591624744923,0.8056001000879667,6.834,Belgium,No
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.1013979914752254,1.1113700633537025,1.3365161574786608,0.2691674132038297,-0.8782252239939619,-0.8758608755640693,0.0,1.1003012368446645,1.1150517169569731,1.3369516161750692,0.2713379630695711,-0.8785681905781408,0.8761335884361069,0.1692137214849177,6.69,France,No
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0710872713818027,0.4126974640616756,0.668050442031914,1.181068581071198,0.6935333151206388,-0.030509160094291336,0.0,1.0705525733915968,0.40962835382996565,0.6680964592888472,1.1809257172399719,0.6938228632402835,0.03385824405879158,0.37449965006654606,6.647,Bahrain,No
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0754173742522908,1.0153025809510496,1.0694266374333459,1.1987753998647392,0.9865730427521745,-0.4167957055738584,0.0,1.0755106839671082,1.014276950795972,1.068467503903839,1.2027558233400615,0.9899224772710261,0.4199011102317277,-0.3029439142528283,6.602,Malta,No
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2460234273495558,0.7271001337430881,0.6836306640345559,-0.06726214387345084,-0.36540570063877437,-0.036107515825879274,0.0,1.246565498822246,0.7313324150362382,0.6822272020399646,-0.06339033046513673,-0.36805161466306807,0.03385824405879158,0.4790088500717389,6.584,Taiwan Province of China,No
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.4313518302064827,0.25549612922096937,0.34724625184415103,1.243042446848592,0.5936334079735243,-0.7750904723954865,0.0,1.432494645403918,0.2584662045884638,0.3477996235968533,1.2464160355402407,0.5917195480572689,0.7708491703889426,-0.015543614238547585,6.561,United Arab Emirates,No
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.1351727938650389,0.6659662813050357,0.23892661315910588,0.7561049300262108,-0.891545211613577,-0.24324667789463236,0.0,1.1350080108732432,0.6615652692324682,0.23946392917162004,0.7588769993049055,-0.8989888536147437,0.2444270801531204,0.4435503714985491,6.494,Saudi Arabia,No
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.986217255120219,1.0240359884422,1.4403843041629505,-0.2708905599991739,-0.4386656325466583,0.09825302173223124,0.0,0.9862646936079056,1.0220288558852797,1.4405770630165962,-0.2671379873993063,-0.43952393529117806,-0.0977472785001641,0.15428383576989016,6.491,Spain,No
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0312503249733036,0.5698987989023819,1.306839544140292,-0.8729223989795724,-0.4586456139760812,0.7756540652543711,0.0,1.030887688787507,0.5685424081607748,1.3086901306728345,-0.8711042561684526,-0.45994459832778095,-0.7733222943028026,0.6786960715102326,6.483,Italy,No
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.949844391008112,1.1637705083006045,0.9507201840798729,1.3935504065936908,-0.571865508742811,0.4397527213590955,0.0,0.9490788642915714,1.1615631474928199,0.9507113143111943,1.3919500762075043,-0.5722582450290971,-0.43992163715344845,-0.07899562852741508,6.461,Slovenia,No
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3284019763602216,-0.0152395030046914,-0.005163531548973367,1.0128538025325573,-0.15228589872493015,0.2662036936798694,0.0,-0.32763460890257595,-0.012850473537308215,-0.005468945181080643,1.013561570472618,-0.15363465277873728,-0.26444760707484116,1.7629790215641072,6.435,Guatemala,No
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46227480779105706,0.9629021360041475,0.609439130688635,0.9243197085648517,-0.5119255644545422,-0.7694921166638985,0.0,0.46318402789146845,0.9638895677154719,0.6068632407006719,0.9189644440388962,-0.5109962559192883,0.7708491703889426,0.31664634292081495,6.431,Uruguay,No
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.7803581215678899,0.8755680610926441,1.7746913534196702,1.1987753998647392,-0.019086022528777564,-3.613456828310569,0.0,1.7795623856897058,0.8747426591884319,1.7750046414597074,1.2027558233400615,-0.020900343040818496,3.613528457662383,-1.9620274643352626,6.377,Singapore,No
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09890652422430898,0.05462775692451138,-0.17506214291113167,0.6852776548520464,1.812412275168321,1.061170207565356,0.0,-0.09956152242905819,0.053040719721807954,-0.17503785819448917,0.6861099789712735,1.8169593302534437,-1.0628544439325047,1.4027955286890679,6.372,Kosovo,No
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8112810991524658,1.0589696184068014,0.6244258204245108,-0.22662351301532102,-0.7250453663683863,1.0275800731758284,0.0,0.8102517681772563,1.0569124287871652,0.625704231035495,-0.223477775199127,-0.7254132178036189,-1.0277596379167833,0.5293972143599571,6.331,Slovakia,No
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12539280446701828,0.5873656138846826,0.23862984702572287,0.1098060440619605,-0.3720656944485819,0.15983493477969857,0.0,0.12603250875670363,0.5840462183393903,0.23946392917162004,0.11125051833558038,-0.36805161466306807,-0.15916318902767662,1.0911341643878683,6.33,Brazil,No
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3696106063625944,0.14196183183601485,0.5348024481426384,0.6233037890746523,-0.8782252239939619,0.4005642312379799,0.0,0.3689799269567546,0.14218762824884706,0.536209526945085,0.6278963627043677,-0.8785681905781408,-0.4048268311377271,0.990357435811432,6.317,Mexico,No
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.21322124000521664,0.5436985764289308,0.37202622398168883,0.8711992521842282,-0.8116252858958857,0.876424468422954,0.0,-0.21359806566581707,0.537534787803544,0.37135086151538227,0.8680275298053537,-0.8070958699500306,-0.878606712349967,1.3150824501132807,6.309,Jamaica,No
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9238637737851789,1.050236210915651,0.4322697490585775,-0.16464964723792708,-1.2511848773431893,0.5517198359908536,0.0,0.9242883114140151,1.0530364762425108,0.43258408010355753,-0.1652641589322217,-1.2461401252369932,-0.545206055200613,0.3614360000658976,6.255,Lithuania,No
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9905473579907085,-0.11130698540734425,1.3213810846760923,-0.25318374120563275,0.0008939589006453195,0.6524902391594365,0.0,0.9912228041834168,-0.10974928715365552,1.322820873423952,-0.2525845833325799,-0.00047968000421556406,-0.6504904732477774,0.2755891572044888,6.223,Cyprus,No
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9082754034514181,1.102636655862552,0.5649242106810828,1.039414030722869,-0.605165477791849,-1.122188527753938,0.0,0.9094139796874814,1.1072998118676654,0.5644710124473198,1.0353916765727076,-0.6028892395840015,1.1217972305461574,-0.6108728071252705,6.189,Estonia,No
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7948267082446078,0.7096333187607874,0.6913465835025326,0.7118378830423581,-1.004765106380307,0.7196705079384917,0.0,0.7953774364507226,0.7080766997683149,0.6916476972073762,0.7079400850713631,-1.0113025003160596,-0.7206800852792205,0.14681889291237638,6.18,Panama,No
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.516328440939442,0.9017682835660951,0.03890623925850322,1.5794720039258725,2.1720519408979326,-1.1893687965329933,0.0,-0.5160428107720033,0.905750279545663,0.03692328307227149,1.5811443290749478,2.174320933393995,1.1919868425776006,0.08709935005226618,6.179,Uzbekistan,No
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5532069680713252,0.5873656138846826,0.7429838907112934,-0.43910533853781464,-0.19224586158377593,0.5741132589172053,0.0,0.5524300182506711,0.5917981234286981,0.7434604206281399,-0.4417788362000234,-0.19447597885194312,-0.571527159712404,0.4696776714998469,6.172,Chile,No
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.822539366615737,0.7271001337430881,0.6987657368371243,0.4373821917424705,-0.9981051125704993,0.04226946441635186,0.0,0.8226470446160341,0.7313324150362382,0.6963579447910819,0.43142540780356176,-1.0010921687977583,-0.04510506947658183,0.01431615719150751,6.166,Poland,No
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625952696295539,1.198704138265206,0.03074517059045302,0.5436231045037173,-0.3587457068289667,0.031072752953175985,0.0,0.6268016768833399,1.2003226729393588,0.032213035488565696,0.5405759383040092,-0.3578412831447666,-0.02755766646872107,0.02924604290653506,6.152,Kazakhstan,No
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7376693503541547,0.1506952393271652,0.35051067931137236,0.4727958293295527,-1.3577447783001113,1.1787356779287022,0.0,0.7383591648323428,0.14993953333815482,0.3525098711805591,0.4750856200037402,-1.3584537719383092,-1.1769125634835995,0.7458805572278565,6.14,Romania,No
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.199258316348275,0.24676272172981903,0.28299638396658455,0.6675708360585052,-0.5918454901722338,0.0478678201479398,0.0,1.1994634483548896,0.24683834695450216,0.28185615742497216,0.671556574904547,-0.5926789080657,-0.04510506947658183,-0.11632034281498395,6.106,Kuwait,No
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3072571250275544,0.5087649464643295,0.535247597342714,-0.12038260025407424,0.11411385366737502,0.602105037575145,0.0,0.3070035447628642,0.506527167446313,0.536209526945085,-0.12160394673204244,0.11183396669710056,-0.6066219657281255,0.4696776714998469,6.078,Serbia,No
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3275359557861243,-0.46064328505335816,0.20910161675404665,0.8534924333906871,-0.6318054530310796,-0.22085325496828123,0.0,-0.32763460890257595,-0.4585850161725054,0.2112024436693853,0.8461974237052641,-0.6335202341389058,0.21810597564132927,1.2217706643943589,6.061,El Salvador,No
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.498647671903164,0.7882339861811406,0.2534681536949062,0.6675708360585052,-0.25884579968185223,0.3445806739221005,0.0,0.4978908019200472,0.7855957506613928,0.25359467192273744,0.6642798728711837,-0.2557379679617519,-0.34341092061021444,0.05910581433659015,6.049,Mauritius,No
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7645159881511852,0.9803689509864482,0.31267299730495124,-0.6781473922506199,-0.9781251311410764,0.4061625869695678,0.0,0.7631497177098991,0.9832693304387409,0.31482789051091276,-0.681910003301009,-0.9806715057611554,-0.4048268311377271,0.19720725720059457,6.032,Latvia,No
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10807239298506291,0.2816963516944204,0.4463661403943023,0.40196855415538824,-0.7983052982762704,0.6356951719646726,0.0,0.10867912174241397,0.28172191985638717,0.44671482285467495,0.4023185996701089,-0.796885538431729,-0.6329430702399167,0.6786960715102326,6.012,Colombia,No
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8017548728373909,1.1201034708448527,0.44621775732760977,-0.3240110163797973,-1.1379649825764595,0.8316376225702505,0.0,0.8028146023139892,1.122803622046281,0.44671482285467495,-0.325351603666212,-1.133826478535677,-0.8347382048303151,0.0031187429052364356,5.992,Hungary,No
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.32284549536131363,0.6397660588315847,0.35733630037919595,0.8180787958036049,2.0122120894625497,0.9380063814704214,0.0,0.3218778764893979,0.6344336014198909,0.35722011876426485,0.8170906155718113,2.0109556291011716,-0.9400226228774796,-0.22642824996331148,5.985,Thailand,No
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.703388884944565,0.4301642790439763,0.3953223654523075,0.39311514475861764,0.23399374224391237,-0.3552137925263911,0.0,-0.7044510126414311,0.42900811655323506,0.3949020994339112,0.3950418976367457,0.23435794491671816,0.35848519970421505,0.7664091500860196,5.972,Nicaragua,No
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0208580780841312,0.6048324288669833,1.499737530839686,0.038978768887795966,-1.6174845368826087,-0.5007710415476775,0.0,1.0209714676364843,0.6034259810626598,1.4971000340210656,0.03848349800194825,-1.6137120598958459,0.4988644237671011,-0.713515771416085,5.94,Japan,No
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4588107254946663,0.7271001337430881,0.5946008240194516,0.3222878695844531,-1.111325007337229,0.5965066818435572,0.0,0.4582259173159572,0.7235805099469305,0.5927324979495545,0.3295515793364768,-1.1134058154990742,-0.5978482642241951,0.05723957862221109,5.929,Argentina,No
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8563141690055505,0.5611653914112316,1.1287798641100815,0.8889060709777694,-1.524244623545302,0.8932195356177178,0.0,0.8573538186446129,0.5646664556161209,1.1297007224920144,0.8898576359054434,-1.5218190762311326,-0.8961541153578277,-0.38319204997110073,5.929,Portugal,No
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6791403088698266,-0.023972910495840778,0.34234961064332003,0.5790367420907996,0.6402533646421777,0.4565477885538593,0.0,-0.6796604597638748,-0.02447833117126989,0.3430893760131475,0.5769594484708253,0.6427712056487762,-0.45746904016130924,0.9399690715232146,5.919,Honduras,No
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6796459718896029,0.9541687285129972,0.861541960998076,-0.33286442577656783,-0.6850854035095405,1.1843340336602899,0.0,0.6788618379262078,0.9522617100815097,0.8612166102207841,-0.3326283056995752,-0.6845718917304131,-1.18568626498753,-0.1965684785332564,5.882,Croatia,No
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.3084835031559728,0.1332284243448645,-0.4440806428234413,1.1102413058970335,-0.5452255335035804,0.08145795453746743,0.0,-0.3078021666005309,0.13443572315953928,-0.4435219704657191,1.1081586969063397,-0.5416272504741927,-0.08019987549230334,0.8242624572317507,5.88,Philippines,No
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.055498901048042,-0.1375072078807953,1.3216778508094775,-1.0588439963117533,-0.4519856201662736,-0.002517381436351644,0.0,1.0556782416650632,-0.13688095496623276,1.322820873423952,-1.060298509035896,-0.4497342668094795,-0.0012365619569299367,-0.31414132853909854,5.845,South Korea,No
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02233635614938177,0.1506952393271652,0.4833135240005702,0.2691674132038297,-0.9248451806626152,0.9156129585440695,0.0,0.021912186670967282,0.15381548588280872,0.48439680352432124,0.2713379630695711,-0.9296198481696482,-0.9137015183656886,0.5853842857913109,5.84,Peru,No
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13665107193028944,0.4825647239908784,0.4607592978634101,-0.7578280768215551,0.853373166556022,1.1395471878075871,0.0,0.13594872990772613,0.48714740472304346,0.4608455656057923,-0.7546770236346412,0.8469778360148056,-1.141817757467878,0.2849203357763816,5.813,Bosnia and Herzegovina,No
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018872273852991,0.3690304266059239,0.10478832086968139,0.2691674132038297,-0.425345644927043,1.066768563296944,0.0,0.019433131383211653,0.3669928758387728,0.10286674924415258,0.2713379630695711,-0.4191032722545751,-1.0716281454364351,0.43795166435541355,5.766,Moldova,No
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10323662709479706,0.05462775692451138,0.5649242106810828,0.44623560113924104,-0.7250453663683863,0.6468918834278485,0.0,-0.10451963300456944,0.04916476717715407,0.5644710124473198,0.4459788118702882,-0.7254132178036189,-0.641716771743847,0.4155568357828722,5.764,Ecuador,No
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7744025720205827,0.6834330962873364,-0.08781289969632959,1.2696026750389038,0.8933331294148676,1.0107850059810646,0.0,-0.7738645606985883,0.6886969370450454,-0.09025340168778491,1.2682461416403306,0.8980294936063129,-1.0102122349089226,0.40622565721098025,5.744,Kyrgyzstan,No
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7333392474836651,0.07209457190681208,1.1287798641100815,-1.8556508420211042,-1.8172843511768373,0.5349247687960897,0.0,0.7334010542568316,0.06854452990042352,1.1297007224920144,-1.8607357327058487,-1.817918690261875,-0.5364323536966826,0.24386315006005543,5.723,Greece,No
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3344641203789074,-0.041439725478141475,-0.16200443304224946,0.7383981112326697,-0.41202565730742774,0.6244984605014968,0.0,-0.3350717747658428,-0.04385809389453935,-0.1609071154433718,0.7370468932048159,-0.40889294073627364,-0.6241693687359863,0.6992246643683957,5.716,Bolivia,No
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02789283714828976,1.050236210915651,-0.36988910947752035,-0.7401212580280139,0.8733531479854449,0.7196705079384917,0.0,-0.02766891908414527,1.0530364762425108,-0.36815800912642643,-0.7401236195679147,0.8673984990514084,-0.7206800852792205,0.11509288576794305,5.677,Mongolia,No
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01367615040840408,0.6834330962873364,0.13461331727474274,0.7472515206294403,0.2872736927223734,0.8652277569597782,0.0,0.014475020807700398,0.6848209845003915,0.13583848233009313,0.7516002972715423,0.2854096025082252,-0.8610593093421063,-0.23202695710644702,5.653,Paraguay,No
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4397582728645148,0.37776383409707426,0.5499375209452069,-0.7401212580280139,-0.12564592348569967,0.4733428557486231,0.0,0.44087253030166806,0.3786207334727345,0.5503402696962023,-0.7401236195679147,-0.12300365822383287,-0.47501644316916997,-0.3290712142541261,5.581,Montenegro,No
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3202474336390202,0.33409679664132247,0.1645866967464945,0.6055969702811113,-0.7849853106566551,-0.07529600594699484,0.0,0.3193988212016426,0.3321093029368878,0.1640999678323279,0.5987895545709149,-0.7866752069134276,0.07772675157844322,-0.4709051285468878,5.545,Dominican Republic,No
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9905473579907085,0.04589434943336103,1.3213810846760923,0.0301253594910254,0.18071379176545133,-0.5679513103267327,0.0,0.9912228041834168,0.04916476717715407,1.322820873423952,0.031206795968585034,0.18330628732521081,0.5690540357985442,-1.4506788785955695,5.536,North Cyprus,No
